"id","type","latitude","longitude","name","price"
"252","rent","51.45958","-0.10774","Sunny dbl+parking nr Brixton market","51.0"
"253","rent","51.60525","-0.14453","Small single room","23.0"
"254","rent","51.56108","-0.07883","Lovely family house. Up to 7 guests","180.0"
"255","rent","51.59075","0.08111","Tidy double bedroom","150.0"
"256","sale","51.51127","-0.03934","Comfortable/Friendly/Double room for 1/Limehouse","37.0"
"257","sale","51.53707","-0.19483","Stylish Ensuite Room in house. - Maida Vale.","84.0"
"258","rent","51.40091","-0.20205","Double room near tube","49.0"
"259","sale","51.59707","-0.10448","A Very Relaxing North London Haven",""
"260","rent","51.43093","-0.08233","Bright Dbl/Nr/ Excellnt Transp",""
"261","rent","51.56958","-0.14615","Bright double room",""
"262","sale","51.41893","-0.23555","Lovely Twin Room near to Common","85.0"
"263","sale","51.50275","-0.08849","Penthouse room in London Bridge","127.0"
"264","sale","51.5084","-0.22737","Lovely Smart Room","53.0"
"265","sale","51.50962","-0.22833","Medium single room","53.0"
"266","sale","51.42572","-0.31003","Peaceful Riverside Island Sanctuary",""
"267","sale","51.41575","-0.23476","Wimbledon Stunning 4 bedroom house","275.0"
"268","rent","51.4651","-0.32557","Sunny single free WiFi  Nr Richmond","38.0"
"269","rent","51.53376","-0.14128","Private Bedroom & Bathroom Peaceful & Central","73.0"
"270","sale","51.43079","-0.06619","Double room in South London","48.0"
"271","rent","51.49248","-0.13848","Pimlico Pad",""
"272","sale","51.44355","-0.19915","Beautiful Blue Room","67.0"
"273","rent","51.36435","-0.0935","Double bed with private bathroom-C. London 20min","62.0"
"274","rent","51.55981","0.03933","Olympic accomodation - family share",""
"275","sale","51.54632","-0.13666","2 bedroom flat for a couple & kids",""
"276","sale","51.5219","-0.32322","garden studio Ealing sleep up to 4","79.0"
"277","sale","51.45283","-0.05073","Newly Decorated Rooms with Double Beds","43.0"
"278","sale","51.47987","-0.1833","Casa Chelsea","410.0"
"279","rent","51.4602","-0.18631","Super small double in stunning home","48.0"
"280","rent","51.4844","0.09562","SELF CONTAINED BEDROOMS IN LONDON",""
"281","rent","51.54671","-0.03062","Cool and Trendy East London",""
"282","rent","51.58152","-0.10332","Cosy private double room in vibrant area",""
"283","rent","51.4937","-0.01812","2 Bed Luxury Waterside Apartment",""
"284","sale","51.51797","-0.21171","Bright & beautiful 3-bed/2-bath near Portobello Rd","375.0"
"285","rent","51.52157","-0.09276","Cosy and central St Luke's/Barbican single room","70.0"
"286","rent","51.48566","-0.18415","South Kensington premier location","195.0"
"287","rent","51.45872","-0.32277","Richmond/South West London home",""
"288","rent","51.5267","-0.06295","DYNAMITE views!",""
"289","sale","51.40804","-0.22837","Great apartment for Wimbledon!",""
"290","rent","51.54356","-0.06084","LONDON FIELDS 1 BED FLAT WITH VIEW",""
"291","rent","51.4291","-0.19028","2 bed modern apartment in Wimbledon",""
"292","sale","51.46024","-0.13538","Beautiful Penthouse in Clapham",""
"293","sale","51.44819","-0.10234","Park View Accommodation",""
"294","sale","51.63182","-0.18907","North London Mansion",""
"295","rent","51.55305","-0.12231","Entire quiet spacious home","92.0"
"296","sale","51.51514","-0.19672","Bright Rooftop Nest In Notting Hill",""
"297","sale","51.44276","-0.0451","Large Double Room for Short/Long Stay selfcatering","32.0"
"298","sale","51.47932","-0.10506","Children's room in central London",""
"299","rent","51.47979","-0.10355","Double room in central London",""
"300","rent","51.47962","-0.10313","Double room in central London",""
"301","sale","51.53899","-0.19744","QUEENS PARK / KILBURN FLAT","83.0"
"302","sale","51.53672","-0.10073","Lovely room in N1 flat",""
"303","rent","51.42299","-0.013","Lovely loft room with stylish en-suite.","66.0"
"304","sale","51.42556","-0.1576","Pretty London Cottage in Tooting.",""
"305","rent","51.56324","-0.08406","Room in Stoke Newington by Church Street and park",""
"306","sale","51.50017","0.08404","Stunning Shared Penthouse Apartment",""
"307","sale","51.51316","0.04813","House to rent in Olimpics",""
"308","rent","51.48295","-0.1476","luxury 1bed in Chelsea Bridge Wharf",""
"309","sale","51.55814","-0.22465","2 Bed Edwardian Maisonette with Sunny Garden",""
"310","sale","51.52538","-0.21057","1 bedroom flat with big balcony!","200.0"
"311","sale","51.47574","0.05733","Kitchener House!",""
"312","rent","51.52412","-0.07869","Cool shoreditch courtyard flat","177.0"
"313","rent","51.53289","-0.01042","Stratford Overlooking Olympic Park",""
"314","rent","51.46929","-0.00834","The Old Coach House (Olympics)","1712.0"
"315","sale","51.62391","-0.02001","Double bedroom all bills included £550 per month",""
"316","rent","51.56615","0.02639","Lovely apartment sleeps 2 to 4",""
"317","sale","51.53328","-0.07258","Large double bedroom in Shoreditch w/garden","87.0"
"318","rent","51.54710388183594","0.0074579999782145","Bedroom In Great Location Stratford","52.0"
"319","sale","51.57392","0.08772","Well furnished room (Olympics site)",""
"320","rent","51.52998","-0.05135","Peaceful loft in the trendy East End","70.0"
"321","rent","51.61585","-0.16287","Cosy single room in Finchley","51.0"
"322","rent","51.56485","-0.09831","Great apartment in Hackney.","76.0"
"323","sale","51.48586","-0.06375","Family Home For the Olympics",""
"324","rent","51.56911","-0.09723","A Charming Garden flat with two living areas","166.0"
"325","rent","51.54838","-0.2335","Beautiful three bedroom house",""
"326","sale","51.4374","-0.14994","Double Room Suiting Female Visitors to London","44.0"
"327","rent","51.4956","-0.22841","A Self Contained Compact Ensuite Unit 400 reviews","54.0"
"328","sale","51.58288","-0.00485","Double Room in Victorian Terrace","100.0"
"329","sale","51.57779","0.11625","Double+Breakfast-15mins to Olympics",""
"330","rent","51.50374","-0.03921","Luxury double room in Rotherhithe","572.0"
"331","rent","51.54378","-0.07193","Four bedroom modern and chic apartment",""
"332","rent","51.5236","-0.0548","Stylish room in trendy Bethnal Green heart of East",""
"333","rent","51.62851","-0.16811","Beautiful Family Home North London","116.0"
"334","sale","51.42576","-0.20537","Great Quirky Twin room in Wimbledon","55.0"
"335","rent","51.4247","-0.20213","Comfy Master Twin Room in Wimbledon","55.0"
"336","sale","51.42418","-0.2068","Comfy B&B with Wifi & TV Wimbledon","55.0"
"337","rent","51.42494","-0.20591","Fun Summer Garden Room - Wimbledon","52.0"
"338","sale","51.49249","-0.20608","Entire flat in Kensigton -Very Central",""
"339","sale","51.54474","-0.06352","Exceptional garden maisonette","185.0"
"340","rent","51.52442","-0.36555","Luxury single room",""
"341","sale","51.46713","-0.15062","Two Bedroom Riverside Apartment","246.0"
"342","sale","51.54339","-0.02672","August in east London",""
"343","rent","51.46104","-0.01957","Lovely home-excellent location-Z2","34.0"
"344","rent","51.45919","-0.11971","ATTRACTIVE FLAT WITH ROOMS 4 RENTAL","28.0"
"345","sale","51.49055","-0.11158","En-suite room in modern 2 bed flat",""
"346","rent","51.47537","-0.16432","Double bedroom overlooking garden","51.0"
"347","sale","51.47503","-0.1624","Stylish 2-bedroom garden flat with antique charm","329.0"
"348","sale","51.52735687858332","-0.0764634472959262","Apartment in Shoreditch - Zone 1","238.0"
"349","sale","51.53555","-0.07516","East London flat on the Canal","55.0"
"350","rent","51.46979","-0.14133","Double Room in Penthouse Flat","135.0"
"351","rent","51.54772","0.04421","3 MASTER BEDROOMS! READ DESCRIPTION",""
"352","rent","51.53035","-0.11272","A Unique & Spacious Urban Sanctuary","600.0"
"353","rent","51.55306","0.00929","Double Room in lovely family home","56.0"
"354","sale","51.61742","-0.02397","Clean Bright Large Double-Chingford",""
"355","sale","51.52479","-0.36186","HOUSE -WEST LONDON -EALING FREE PARKING (6 guests)",""
"356","sale","51.49157","-0.04454","Nice Room Near Park and The Thames",""
"357","rent","51.51512","-0.20814","Brand New contemporary mews house",""
"358","sale","51.53896","-0.13997","Camden Town Pensione Central London",""
"359","sale","51.58582","-0.01661","Bridgerton inspired cottage core apartment","91.0"
"360","sale","51.49593","-0.06868","........",""
"361","sale","51.53518","-0.20319","LOVELY 2 Bed Apartment","144.0"
"362","rent","51.54573","-0.06945","Room with balcony in the heart of Dalston",""
"363","rent","51.51484","-0.11229","Trendy and very central 1 bedroom","166.0"
"364","rent","51.48124","-0.0097","Great 2bedroom apartment in Greenwich Heart","261.0"
"365","rent","51.5063","-0.03986","BETHNL GREEN DOUBLE ROOM CLOSE TUBE",""
"366","rent","51.46781","-0.09836","Lovely double room with ensuite bath near Brixton","2000.0"
"367","rent","51.40368","-0.09263","Comfortable room to stay in London.","36.0"
"368","rent","51.57684","-0.07749","Short let - 16 July - 26 Aug 250pw",""
"369","sale","51.54533","-0.0636","Olympic Rental - Designer Flat",""
"370","rent","51.53368","-0.212","Bright 2 Bed Flat by Queens Park",""
"371","sale","51.41583","-0.14898","Triple room for cheap price in London","63.0"
"372","sale","51.41795","-0.30511","Cosy Double Room Central Kingston SW London",""
"373","rent","51.53127","-0.07367","Fantastic room in Shoreditch/Hoxton","65.0"
"374","sale","51.50049","-0.09027","London Bridge spacious apartment","115.0"
"375","sale","51.4645","-0.08651","Denmark Hill - Sabbaticals/Holidays","145.0"
